serial,title,category,region,system,mapping_files
SLUS-00664GH,Xenogears (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00669,Xenogears (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-00669GH,Xenogears (USA) (Disc 2),Games,NTSC-U,PSX,
SLES-01374,"Tenchu - Stealth Assassins (Europe) (En,Fr,It)",Games,PAL,PSX,
SLES-03284,Prism Land Story (Europe),Games,PAL,PSX,
SLUS-00422,Breath of Fire III (USA),Games,NTSC-U,PSX,
SLES-02240-GER,Tomb Raider IV - The Last Revelation (Germany) (EDC),Games,PAL,PSX,
SLES-02340,"Thrasher - Skate and Destroy (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-01404#,"Grand Theft Auto 2 (Europe) (En,Fr,De,Es,It) (Rev 1)",Games,PAL,PSX,
SLES-00246,Alien Trilogy (Germany),Games,PAL,PSX,
SCED-00825,Euro Demo 29 (Europe),Coverdiscs,PAL,PSX,
SLES-02203,Jade Cocoon - Die Tamamayu Legende (Germany),Games,PAL,PSX,
SLES-02203#,Jade Cocoon - Die Tamamayu Legende (Germany),Games,PAL,PSX,
SLUS-00885GH,Tomb Raider - The Last Revelation (USA) (Rev 1),Games,NTSC-U,PSX,
SCES-02180,"Point Blank 2 (Europe, Australia) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-00051,"Raiden Project, The (Europe)",Games,PAL,PSX,
SLUS-00939,Tenchu 2 - Birth of the Stealth Assassins (USA),Games,NTSC-U,PSX,
SLUS-00939GH,Tenchu 2 - Birth of the Stealth Assassins (USA),Games,NTSC-U,PSX,
SLUS-00753,R-Types (USA),Games,NTSC-U,PSX,
SCES-01420,"Crash Bandicoot 3 - Warped (Europe, Australia) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-00927,"Constructor (Europe) (En,Fr,De,Es)",Games,PAL,PSX,
SLUS-01051,Koudelka (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-01100,Koudelka (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-01101,Koudelka (USA) (Disc 3),Games,NTSC-U,PSX,
SLUS-01102,Koudelka (USA) (Disc 4),Games,NTSC-U,PSX,
SLES-02112,SaGa Frontier 2 (Europe),Games,PAL,PSX,
SCED-01829,Euro Demo 55 (Europe),Coverdiscs,PAL,PSX,
SCED-02639,Euro Demo 65 (Europe),Coverdiscs,PAL,PSX,
SCED-02640,Euro Demo 66 (Europe),Coverdiscs,PAL,PSX,
SCED-02641,Euro Demo 67 (Europe),Coverdiscs,PAL,PSX,
SCED-02638,Euro Demo 64 (Europe),Coverdiscs,PAL,PSX,
SCED-02644,Euro Demo 70 (Europe),Coverdiscs,PAL,PSX,
SCED-02645,Euro Demo 71 (Europe),Coverdiscs,PAL,PSX,
SCED-02646,Euro Demo 72 (Europe),Coverdiscs,PAL,PSX,
SCES-00892,Disney Jeu d'Action Disney Presente Hercule (France),Games,PAL,PSX,
SCED-01823,Euro Demo 49 (Europe),Coverdiscs,PAL,PSX,
SCED-00826,Euro Demo 30 (Europe),Coverdiscs,PAL,PSX,
SCED-01151,Euro Demo 41 (Europe),Coverdiscs,PAL,PSX,
SCED-01152,Euro Demo 42 (Europe),Coverdiscs,PAL,PSX,
SCED-01153,Euro Demo 43 (Europe),Coverdiscs,PAL,PSX,
SCED-01818,Euro Demo 44 (Europe),Coverdiscs,PAL,PSX,
SCED-01819,Euro Demo 45 (Europe),Coverdiscs,PAL,PSX,
SCED-01820,Euro Demo 46 (Europe),Coverdiscs,PAL,PSX,
SCED-01821,Euro Demo 47 (Europe),Coverdiscs,PAL,PSX,
SCED-01822,Euro Demo 48 (Europe),Coverdiscs,PAL,PSX,
SCED-01824,Euro Demo 50 (Europe),Coverdiscs,PAL,PSX,
SCUS-94307,Bogey Dead 6 (USA),Games,NTSC-U,PSX,
SCED-01826,Euro Demo 52 (Europe),Coverdiscs,PAL,PSX,
SCED-01826 #,Euro Demo 52 (Europe),Coverdiscs,PAL,PSX,
SCED-01825,Euro Demo 51 (Europe),Coverdiscs,PAL,PSX,
SCED-01827,"Euro Demo 53 (Europe, Australia)",Coverdiscs,PAL,PSX,
SCED-01828,Euro Demo 54 (Europe),Coverdiscs,PAL,PSX,
SCED-01830,Euro Demo 56 (Europe),Coverdiscs,PAL,PSX,
SCED-01831,Euro Demo 57 (Europe),Coverdiscs,PAL,PSX,
SCED-02632,Euro Demo 58 (Europe),Coverdiscs,PAL,PSX,
SCED-02633,Euro Demo 59 (Europe),Coverdiscs,PAL,PSX,
SCED-02634,Euro Demo 60 (Europe),Coverdiscs,PAL,PSX,
SCED-02637,Euro Demo 63 (Europe),Coverdiscs,PAL,PSX,
SCED-02643,Euro Demo 69 (Europe),Coverdiscs,PAL,PSX,
SCED-00287,Point Blank (Europe) (Demo),Demos,PAL,PSX,
SLES-01007,Command & Conquer - Alarmstufe Rot (Germany) (Disc 1),Games,PAL,PSX,
SLES-11007,Command & Conquer - Alarmstufe Rot (Germany) (Disc 2),Games,PAL,PSX,
SLUS-01087,Resident Evil - Survivor (USA),Games,NTSC-U,PSX,
PBPX 95001,Demo One (Version 5) (Europe),Demos,PAL,PSX,
PBPX-95001,Demo One (Version 5) (Europe),Demos,PAL,PSX,
SLES-03986,"CT Special Forces (Europe) (En,Fr,De,Es,It,Nl)",Games,PAL,PSX,
SLES-00375,MechWarrior 2 - Kampfspiel des 31. Jahrhunderts - Arcade Combat Edition (Germany),Games,PAL,PSX,
SCED-00824,Euro Demo 28 (Europe),Coverdiscs,PAL,PSX,
SCED-00829,Euro Demo 33 (Europe),Coverdiscs,PAL,PSX,
SCES-00563,Samurai Shodown III (Europe),Games,PAL,PSX,
SLES-00352,"Top Gun - Fire at Will! (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-00270,"Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)",Games,PAL,PSX,
PBPX-95007,"Demo One (Version 6) (Europe, Australia) (En,Fr,De,Es,It)",Demos,PAL,PSX,
SCED-00816,"Demo One (Version 6) (Europe, Australia) (En,Fr,De,Es,It)",Demos,PAL,PSX,
SLUS-00421,Resident Evil 2 (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00592,Resident Evil 2 (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-00748,Resident Evil 2 - Dual Shock Ver. (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00756,Resident Evil 2 - Dual Shock Ver. (USA) (Disc 2),Games,NTSC-U,PSX,
SCED-00828,Euro Demo 32 (Europe),Coverdiscs,PAL,PSX,
SCED-01145,"Euro Demo 35 (Europe, Australia)",Coverdiscs,PAL,PSX,
SLES-00487,Final Doom (Europe),Games,PAL,PSX,
SLES-00112,Johnny Bazookatone (Europe),Games,PAL,PSX,
SCED-00827,Euro Demo 31 (Europe),Coverdiscs,PAL,PSX,
SLES-00027,"Gunship (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SCED-01144,Euro Demo 34 (Europe),Coverdiscs,PAL,PSX,
SCES-01909,"Wip3out (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SCUS-94451,Syphon Filter 2 (USA) (Disc 2),Games,NTSC-U,PSX,
SCUS-94492,Syphon Filter 2 (USA) (Disc 2),Games,NTSC-U,PSX,
SCED-00456,Demo One (Version 4) (Europe),Demos,PAL,PSX,
SLES-01333,"Wild 9 (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-00658,"Need for Speed II (Europe) (En,Fr,De,Es,It,Sv)",Games,PAL,PSX,
SLUS-01257,Lunar 2 - Eternal Blue Complete (USA) (The Making of),Bonus Discs,NTSC-U,PSX,
SLES-03625,Spider-Man 2 - Enter - Electro (Germany),Games,PAL,PSX,
SLES-02282,Shadow Man - Rette deine Seele (Germany),Games,PAL,PSX,
SLES-03736,Dragon Ball Z - Ultimate Battle 22 (Europe),Games,PAL,PSX,
SLES-02372,Tom Clancy's Rainbow Six (Germany),Games,PAL,PSX,
SLES-02372#,Tom Clancy's Rainbow Six (Germany),Games,PAL,PSX,
SLES-03576,Pajama Sam - You Are What You Eat from Your Head to Your Feet (Europe),Games,PAL,PSX,
SLES-02240,Tomb Raider IV - The Last Revelation (Germany),Games,PAL,PSX,
SLUS-00866,Colony Wars - Red Sun (USA),Games,NTSC-U,PSX,
SCES-00255,Tekken 2 (Europe),Games,PAL,PSX,
SLES-02238,"Tomb Raider - The Last Revelation (Europe, Australia)",Games,PAL,PSX,
SLES-02238-T,"Tomb Raider - The Last Revelation (Europe, Australia)",Games,PAL,PSX,
SLES-02238/ANZ,"Tomb Raider - The Last Revelation (Europe, Australia)",Games,PAL,PSX,
SCES-03821/GER-P,Stuart Little 2 (Germany),Games,PAL,PSX,
SLUS-01060,JoJo's Bizarre Adventure (USA),Games,NTSC-U,PSX,
SLUS-00543,Colony Wars (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00554,Colony Wars (USA) (Disc 2),Games,NTSC-U,PSX,
SCED-00823,Euro Demo 27 (Europe),Coverdiscs,PAL,PSX,
SLES-02025,Legacy of Kain - Soul Reaver (Germany),Games,PAL,PSX,
PBPX-95008,"Demo One (Version 7) (Europe) (En,Fr,De,Es,It)",Demos,PAL,PSX,
SCES-03884,"Firebugs (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",Games,PAL,PSX,
SLPM 86656,Raiden DX (Japan) (Major Wave),Games,NTSC-J,PSX,
SLPS 01688,R-Type Delta (Japan),Games,NTSC-J,PSX,
SLPS 03311,R-Type Delta (Japan),Games,NTSC-J,PSX,
SCPS 45412,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 1)",Games,NTSC-J,PSX,
SLPM 86247,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 1)",Games,NTSC-J,PSX,
SLPM 86470,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 1)",Games,NTSC-J,PSX,
SLPM 87324,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 1)",Games,NTSC-J,PSX,
SCPS 45413,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 2)",Games,NTSC-J,PSX,
SLPM 86248,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 2)",Games,NTSC-J,PSX,
SLPM 86471,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 2)",Games,NTSC-J,PSX,
SLPM 87325,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 2)",Games,NTSC-J,PSX,
SCPS 45414,"Metal Gear Solid - Integral (Japan, Asia) (Disc 3) (VR-Disc)",Games,NTSC-J,PSX,
SLPM 86249,"Metal Gear Solid - Integral (Japan, Asia) (Disc 3) (VR-Disc)",Games,NTSC-J,PSX,
SLPM 86472,"Metal Gear Solid - Integral (Japan, Asia) (Disc 3) (VR-Disc)",Games,NTSC-J,PSX,
SLPM 87326,"Metal Gear Solid - Integral (Japan, Asia) (Disc 3) (VR-Disc)",Games,NTSC-J,PSX,
SLUS-00313,Gunship (USA),Games,NTSC-U,PSX,
SCES-00743,"PaRappa the Rapper - The Hip Hop Hero (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
